지역구,주간인구지수,인구밀도,코로나 확진자 수,"면적 당 숙박, 음식점 등 시설 현황",집단 발생 연관성
종로구,265.7,6288.671442,28,204.3132916,20
중구,372.8,12660.04654,20,204.3132916,16
용산구,127.4,10492.46792,54,204.3132916,39
성동구,109.6,17639.68021,57,204.3132916,47
광진구,92.6,20486.96736,22,204.3132916,13
동대문구,108.6,24311.474,44,204.3132916,26
중랑구,78.3,21324.77633,44,204.3132916,28
성북구,92.5,17979.26012,42,204.3132916,38
강북구,79.5,13210.40463,28,204.3132916,22
도봉구,77.4,15946.07019,64,204.3132916,43
노원구,84.7,14924.28905,50,204.3132916,46
은평구,74.6,16141.16861,63,204.3132916,52
서대문구,111.2,17743.07839,41,204.3132916,35
마포구,119.3,15696.88374,52,204.3132916,32
양천구,79.3,26308.81852,71,204.3132916,44
구로구,105.2,20132.8112,91,204.3132916,99
금천구,128.1,17837.52652,39,204.3132916,18
영등포구,146.1,15208.8998,72,204.3132916,52
동작구,89.1,24162.62249,70,204.3132916,61
관악구,78.4,16900.87115,144,204.3132916,162
서초구,140.7,9129.247173,63,204.3132916,43
강남구,188,13701.83382,98,204.3132916,30
송파구,95.8,19824.56152,98,204.3132916,42
강동구,83.6,18590.97835,49,204.3132916,32
영도구,95,8106.672315,4,53.15412986,1
부산진구,100.2,12042.04363,14,53.15412986,10
동래구,86.7,16381.45199,40,53.15412986,39
해운대구,89.7,7846.682495,22,53.15412986,19
사하구,92.4,7595.21096,11,53.15412986,9
금정구,100.7,3615.432362,9,53.15412986,7
연제구,93.3,17317.42067,5,53.15412986,3
수영구,83.1,17338.43488,11,53.15412986,9
사상구,112,5976.450609,6,53.15412986,4
기장군,98.8,779.3901643,3,53.15412986,1
연수구,93.3,6780.354309,56,58.08983337,49
남동구,93.8,9297.617233,49,58.08983337,42
부평구,84.9,15694.59612,94,58.08983337,82
계양구,79.3,6580.640982,55,58.08983337,48
강화군,102.2,167.8548106,4,58.08983337,0
옹진군,107.1,117.8093227,0,58.08983337,0
광산구,98.9,1826.138861,9,40.03749609,7
유성구,107.1,1993.615842,52,41.23472228,45
대덕구,105.1,2545.896102,8,41.23472228,5
울주군,106.5,293.8355417,6,23.74958639,4
수원시,90.8,9844.074286,111,43.26112778,97
성남시,99.7,6634.847806,188,43.26112778,164
의정부시,84.1,5586.257982,72,43.26112778,72
안양시,91.9,9544.68224,72,43.26112778,63
부천시,87.7,15449.74378,187,43.26112778,50
광명시,79.9,8118.70576,35,43.26112778,30
평택시,105,1143.184118,148,43.26112778,129
동두천시,91.2,984.1083277,6,43.26112778,3
안산시,98.2,4204.833101,25,43.26112778,21
고양시,85.4,4017.493208,86,43.26112778,75
과천시,104.9,1709.29486,12,43.26112778,10
구리시,87.8,5956.755065,13,43.26112778,10
남양주시,81.6,1544.383368,53,43.26112778,46
오산시,86.1,5339.35363,10,43.26112778,7
시흥시,102.9,3472.211028,36,43.26112778,5
군포시,83.4,7580.095461,80,43.26112778,70
의왕시,82.7,3030.719566,11,43.26112778,9
하남시,95.2,3046.023532,13,43.26112778,11
용인시,90.8,1814.8733,125,43.26112778,109
파주시,98.1,677.4628805,4,43.26112778,1
이천시,109,473.4805693,17,43.26112778,14
안성시,108.6,334.8493958,9,43.26112778,7
김포시,97.6,1623.41469,45,43.26112778,399
화성시,118.6,1205.69531,51,43.26112778,44
광주시,92.8,875.9560561,39,43.26112778,34
양주시,96.9,728.29225,14,43.26112778,12
포천시,121.1,179.053512,38,43.26112778,18
여주시,103.5,183.0325016,2,43.26112778,1
연천군,104.7,64.49324166,0,43.26112778,0
가평군,104.2,74.30825668,2,43.26112778,1
양평군,95.8,134.097443,1,43.26112778,1
춘천시,100.4,252.0696757,10,30.85402127,5
원주시,100.2,405.6364081,26,30.85402127,18
강릉시,100,204.5199404,5,30.85402127,1
동해시,97.6,501.9507318,0,30.85402127,0
태백시,94.9,142.3351724,1,30.85402127,0
속초시,95.3,775.903359,5,30.85402127,3
삼척시,104.3,55.3869957,0,30.85402127,0
홍천군,106,37.90719673,0,30.85402127,0
횡성군,110.5,46.53222869,1,30.85402127,0
영월군,104.4,34.45017859,3,30.85402127,1
평창군,110.2,28.50926514,4,30.85402127,2
정선군,110,30.37119418,0,30.85402127,0
철원군,100.8,50.57722525,11,30.85402127,5
화천군,107.3,27.19366437,0,30.85402127,0
양구군,103.6,33.74352197,0,30.85402127,0
인제군,104,19.17968013,9,30.85402127,7
양양군,104.7,44.13355687,0,30.85402127,0
충주시,101,213.7010009,13,35.43912449,11
제천시,100.6,150.9957843,0,35.43912449,0
청주시,97.7,895.7499957,25,35.43912449,21
보은군,108.1,55.76890144,0,35.43912449,0
옥천군,106.1,94.566649,2,35.43912449,0
영동군,105.7,56.42334941,1,35.43912449,0
진천군,118.9,200.7198614,1,35.43912449,0
괴산군,110.1,44.52021984,11,35.43912449,9
음성군,123.6,181.2518439,9,35.43912449,7
단양군,108.4,37.61789996,1,35.43912449,0
증평군,97.6,454.4707926,2,35.43912449,0
천안시,103.3,1033.794468,113,36.39256943,98
공주시,106,122.009453,4,36.39256943,2
보령시,101.1,175.3202444,0,36.39256943,0
아산시,112.8,576.7531296,23,36.39256943,20
서산시,103,235.9124643,11,36.39256943,9
